time,south_ILI,north_ILI
2018 week07,5.6,4.5
2018 week08,4.7,3.6
2018 week09,4,2.9
2018 week10,3.7,2.6
2018 week11,3.6,2.6
2018 week12,3.6,2.6
2018 week13,3.6,2.6
2018 week14,3.7,2.5
2018 week15,3.5,2.3
2018 week16,3.6,2.4
2018 week17,3.6,2.3
2018 week18,3.7,2.6
2018 week19,3.7,2.3
2018 week20,4,2.3
2018 week21,4.1,2.3
2018 week22,4.2,2.4
2018 week23,4.2,2.4
2018 week24,4,2.3
2018 week25,3.8,2.4
2018 week26,3.6,2.3
2018 week27,3.3,2.3
2018 week28,3.3,2.3
2018 week29,3,2.2
2018 week30,3,2.2
2018 week31,3,2.1
2018 week32,2.8,2.1
2018 week33,2.8,2.1
2018 week34,2.6,2.1
2018 week35,2.6,2
2018 week36,2.7,2.1
2018 week37,2.7,2.1
2018 week38,2.9,2.1
2018 week39,2.9,2
2018 week40,3.4,2.8
2018 week41,2.5,2.1
2018 week42,2.6,2.3
2018 week43,2.6,2.3
2018 week44,2.7,2.3
2018 week45,2.6,2.5
2018 week46,2.7,2.6
2018 week47,2.9,2.8
2018 week48,3.2,3
2018 week49,3.3,3.2
2018 week50,3.5,3.4
2018 week51,3.7,3.7
2018 week52,4.1,4.1
2019 week01,4.8,5.3
2019 week02,5.5,5.3
2019 week03,5.9,5.4
2019 week04,5.4,5.1
2019 week05,5.1,4.6
2019 week06,6.8,6.2
2019 week07,4,3.4
2019 week08,3.9,2.9
2019 week09,4,2.8
2019 week10,4.1,2.5
2019 week11,4.1,3.3
2019 week12,4,3.5
2019 week13,4,3.6
2019 week14,4.2,3.9
2019 week15,4,3.7
2019 week16,4.2,3.6
2019 week17,4.2,3.3
2019 week18,4.3,3.2
2019 week19,4,2.6
2019 week20,4.1,2.5
2019 week21,4.2,2.5
2019 week22,4.1,2.4
2019 week23,4.6,2.6
2019 week24,4.2,2.3
2019 week25,4,2.3
2019 week26,4,2.4
2019 week27,3.9,2.4
2019 week28,3.5,2.3
2019 week29,3.6,2.2
2019 week30,3.4,2.3
2019 week31,3.3,2.2
2019 week32,3.3,2.1
2019 week33,3,2.1
2019 week34,3,2
2019 week35,2.8,2
2019 week36,2.9,2.1
2019 week37,3.4,2.3
2019 week38,3.2,2.2
2019 week39,3.2,2.3
2019 week40,3.5,2.9
2019 week41,2.8,2.2
2019 week42,2.9,2.4
2019 week43,3,2.4
2019 week44,3.1,2.5
2019 week45,3.1,2.5
2019 week46,3.2,2.6
2019 week47,3.4,2.9
2019 week48,3.5,3.3
2019 week49,4,3.7
2019 week50,5.2,4.7
2019 week51,5.6,5.3
2019 week52,6.2,5.5
2020 week01,6.6,5.9
2020 week02,6.1,5.3
2020 week03,5.1,4.5
2020 week04,7.4,6.8
2020 week05,8,8.5
2020 week06,5.7,6.4
2020 week07,4.6,5.4
2020 week08,3.6,4.4
2020 week09,3.3,3.5
2020 week10,2.9,2.8
2020 week11,2.8,2.5
2020 week12,2.7,2.4
2020 week13,2.5,2.3
2020 week14,2.2,2.1
2020 week15,2.3,1.9
2020 week16,2.3,1.9
2020 week17,2.4,1.8
2020 week18,2.6,1.9
2020 week19,2.7,1.9
2020 week20,2.7,1.9
2020 week21,2.9,1.9
2020 week22,2.9,1.9
2020 week23,3,2
2020 week24,3.3,2.2
2020 week25,3.3,2.4
2020 week26,3.2,2.2
2020 week27,2.8,2
2020 week28,2.6,1.9
2020 week29,2.7,1.8
2020 week30,2.6,2
2020 week31,2.8,2
2020 week32,2.7,1.9
2020 week33,2.7,1.9
2020 week34,2.6,1.7
2020 week35,2.7,1.8
2020 week36,3.1,1.9
2020 week37,3.7,2
2020 week38,3.4,2.3
2020 week39,3.4,2.2
2020 week40,3.6,2.5
2020 week41,3.3,2.4
2020 week42,3.1,2.2
2020 week43,3.3,2.3
2020 week44,3.5,2.4
2020 week45,3.6,2.5
2020 week46,3.7,2.5
2020 week47,3.7,2.5
2020 week48,3.4,2.4
2020 week49,3.4,2.6
2020 week50,3.5,2.7
2020 week51,3.4,2.8
2020 week52,3.6,2.9
2020 week53,3.6,3.1
2021 week01,3.4,2.5
2021 week02,3.5,2.7
2021 week03,3.4,2.6
2021 week04,3,2.4
2021 week05,2.6,2
2021 week06,3.2,2.6
2021 week07,3.2,2.7
2021 week08,2.7,2
2021 week09,2.2,1.6
2021 week10,2.4,1.8
2021 week11,2.8,2
2021 week12,2.9,2.1
2021 week13,3,2.2
2021 week14,3,2.1
2021 week15,3.1,2.2
2021 week16,3.4,2.3
2021 week17,3.7,2.4
2021 week18,3.9,2.5
2021 week19,3.7,2.4
2021 week20,4,2.7
2021 week21,4.2,2.8
2021 week22,4.3,3
2021 week23,4.3,3.2
2021 week24,4.2,2.9
2021 week25,4,2.7
2021 week26,3.8,2.6
2021 week27,3.7,2.5
2021 week28,3.6,2.4
2021 week29,3.4,2.4
2021 week30,3.3,2.4
2021 week31,3.3,2.3
2021 week32,3,2.2
2021 week33,2.6,2
2021 week34,2.8,1.7
2021 week35,2.7,1.7
2021 week36,3.1,1.8
2021 week37,3.5,2
2021 week38,3.8,2.2
2021 week39,3.5,2.2
2021 week40,3.4,2.2
2021 week41,2.8,2
2021 week42,3,2.3
2021 week43,3.6,2.6
2021 week44,3.5,2.6
2021 week45,3.4,2.7
2021 week46,3.4,2.8
2021 week47,3.5,2.8
2021 week48,3.8,3
2021 week49,3.9,3.3
2021 week50,3.9,3.5
2021 week51,4,3.9
2021 week52,4,4.1
2022 week01,4.3,3.7
2022 week02,3.9,3.6
2022 week03,3.5,3.1
